Product_Code,Week,Sales
P1,0,11
P1,1,12
P1,2,10
P1,3,8
P1,4,13
P1,5,12
P1,6,14
P1,7,21
P1,8,6
P1,9,14
P1,10,11
P1,11,14
P1,12,16
P1,13,9
P1,14,9
P1,15,9
P1,16,14
P1,17,9
P1,18,3
P1,19,12
P1,20,5
P1,21,11
P1,22,7
P1,23,12
P1,24,5
P1,25,9
P1,26,7
P1,27,10
P1,28,5
P1,29,11
P1,30,7
P1,31,10
P1,32,12
P1,33,6
P1,34,5
P1,35,14
P1,36,10
P1,37,9
P1,38,12
P1,39,17
P1,40,7
P2,0,7
P2,1,6
P2,2,3
P2,3,2
P2,4,7
P2,5,1
P2,6,6
P2,7,3
P2,8,3
P2,9,3
P2,10,2
P2,11,2
P2,12,6
P2,13,2
P2,14,0
P2,15,6
P2,16,2
P2,17,7
P2,18,7
P2,19,9
P2,20,4
P2,21,7
P2,22,2
P2,23,4
P2,24,5
P2,25,3
P2,26,5
P2,27,8
P2,28,5
P2,29,5
P2,30,3
P2,31,1
P2,32,3
P2,33,2
P2,34,3
P2,35,10
P2,36,5
P2,37,2
P2,38,7
P2,39,3
P2,40,2
P3,0,7
P3,1,11
P3,2,8
P3,3,9
P3,4,10
P3,5,8
P3,6,7
P3,7,13
P3,8,12
P3,9,6
P3,10,14
P3,11,9
P3,12,4
P3,13,7
P3,14,12
P3,15,8
P3,16,7
P3,17,11
P3,18,10
P3,19,7
P3,20,7
P3,21,13
P3,22,11
P3,23,8
P3,24,10
P3,25,8
P3,26,14
P3,27,5
P3,28,3
P3,29,13
P3,30,11
P3,31,9
P3,32,7
P3,33,8
P3,34,7
P3,35,9
P3,36,6
P3,37,12
P3,38,12
P3,39,9
P3,40,3
P4,0,12
P4,1,8
P4,2,13
P4,3,5
P4,4,9
P4,5,6
P4,6,9
P4,7,13
P4,8,13
P4,9,11
P4,10,8
P4,11,4
P4,12,5
P4,13,4
P4,14,15
P4,15,7
P4,16,11
P4,17,9
P4,18,15
P4,19,4
P4,20,6
P4,21,7
P4,22,11
P4,23,7
P4,24,9
P4,25,6
P4,26,10
P4,27,10
P4,28,2
P4,29,6
P4,30,7
P4,31,2
P4,32,5
P4,33,12
P4,34,5
P4,35,19
P4,36,8
P4,37,6
P4,38,8
P4,39,8
P4,40,12
P5,0,8
P5,1,5
P5,2,13
P5,3,11
P5,4,6
P5,5,7
P5,6,9
P5,7,14
P5,8,9
P5,9,9
P5,10,11
P5,11,18
P5,12,8
P5,13,4
P5,14,13
P5,15,8
P5,16,10
P5,17,15
P5,18,6
P5,19,13
P5,20,11
P5,21,6
P5,22,10
P5,23,9
P5,24,8
P5,25,12
P5,26,8
P5,27,9
P5,28,13
P5,29,3
P5,30,5
P5,31,3
P5,32,5
P5,33,5
P5,34,9
P5,35,7
P5,36,4
P5,37,8
P5,38,8
P5,39,5
P5,40,5
P6,0,3
P6,1,3
P6,2,2
P6,3,7
P6,4,6
P6,5,3
P6,6,8
P6,7,6
P6,8,6
P6,9,3
P6,10,1
P6,11,1
P6,12,5
P6,13,4
P6,14,3
P6,15,5
P6,16,3
P6,17,5
P6,18,10
P6,19,8
P6,20,4
P6,21,9
P6,22,7
P6,23,5
P6,24,4
P6,25,2
P6,26,1
P6,27,3
P6,28,2
P6,29,4
P6,30,0
P6,31,3
P6,32,2
P6,33,11
P6,34,2
P6,35,1
P6,36,4
P6,37,4
P6,38,3
P6,39,2
P6,40,5
P7,0,4
P7,1,8
P7,2,3
P7,3,7
P7,4,8
P7,5,7
P7,6,2
P7,7,3
P7,8,10
P7,9,3
P7,10,5
P7,11,2
P7,12,3
P7,13,4
P7,14,5
P7,15,3
P7,16,7
P7,17,10
P7,18,0
P7,19,3
P7,20,7
P7,21,5
P7,22,1
P7,23,5
P7,24,7
P7,25,5
P7,26,2
P7,27,4
P7,28,3
P7,29,1
P7,30,3
P7,31,2
P7,32,2
P7,33,4
P7,34,2
P7,35,6
P7,36,4
P7,37,5
P7,38,1
P7,39,3
P7,40,5
P8,0,8
P8,1,6
P8,2,10
P8,3,9
P8,4,6
P8,5,8
P8,6,7
P8,7,5
P8,8,10
P8,9,10
P8,10,8
P8,11,8
P8,12,15
P8,13,9
P8,14,5
P8,15,11
P8,16,10
P8,17,7
P8,18,13
P8,19,9
P8,20,12
P8,21,11
P8,22,5
P8,23,11
P8,24,11
P8,25,12
P8,26,3
P8,27,10
P8,28,12
P8,29,9
P8,30,9
P8,31,10
P8,32,8
P8,33,9
P8,34,8
P8,35,9
P8,36,15
P8,37,6
P8,38,7
P8,39,8
P8,40,3
P9,0,14
P9,1,9
P9,2,10
P9,3,7
P9,4,11
P9,5,15
P9,6,12
P9,7,7
P9,8,13
P9,9,12
P9,10,15
P9,11,15
P9,12,16
P9,13,10
P9,14,9
P9,15,9
P9,16,13
P9,17,8
P9,18,10
P9,19,18
P9,20,18
P9,21,17
P9,22,10
P9,23,16
P9,24,14
P9,25,10
P9,26,4
P9,27,7
P9,28,7
P9,29,10
P9,30,3
P9,31,13
P9,32,9
P9,33,7
P9,34,9
P9,35,8
P9,36,7
P9,37,9
P9,38,15
P9,39,8
P9,40,9
P10,0,22
P10,1,19
P10,2,19
P10,3,29
P10,4,20
P10,5,16
P10,6,26
P10,7,20
P10,8,24
P10,9,20
P10,10,31
P10,11,22
P10,12,23
P10,13,19
P10,14,15
P10,15,19
P10,16,22
P10,17,23
P10,18,20
P10,19,33
P10,20,16
P10,21,23
P10,22,23
P10,23,16
P10,24,25
P10,25,27
P10,26,12
P10,27,15
P10,28,15
P10,29,11
P10,30,14
P10,31,29
P10,32,23
P10,33,12
P10,34,16
P10,35,9
P10,36,23
P10,37,22
P10,38,15
P10,39,18
P10,40,13
P11,0,15
P11,1,7
P11,2,15
P11,3,14
P11,4,17
P11,5,7
P11,6,10
P11,7,16
P11,8,11
P11,9,8
P11,10,8
P11,11,10
P11,12,10
P11,13,12
P11,14,10
P11,15,16
P11,16,13
P11,17,10
P11,18,13
P11,19,13
P11,20,18
P11,21,12
P11,22,15
P11,23,9
P11,24,8
P11,25,5
P11,26,11
P11,27,8
P11,28,9
P11,29,10
P11,30,7
P11,31,12
P11,32,12
P11,33,9
P11,34,16
P11,35,11
P11,36,12
P11,37,10
P11,38,6
P11,39,19
P11,40,6
P12,0,3
P12,1,4
P12,2,1
P12,3,6
P12,4,4
P12,5,3
P12,6,7
P12,7,3
P12,8,5
P12,9,3
P12,10,5
P12,11,6
P12,12,5
P12,13,0
P12,14,4
P12,15,0
P12,16,7
P12,17,1
P12,18,5
P12,19,5
P12,20,3
P12,21,7
P12,22,4
P12,23,4
P12,24,5
P12,25,6
P12,26,4
P12,27,0
P12,28,4
P12,29,4
P12,30,2
P12,31,2
P12,32,4
P12,33,6
P12,34,2
P12,35,5
P12,36,5
P12,37,5
P12,38,9
P12,39,2
P12,40,5
P13,0,12
P13,1,10
P13,2,9
P13,3,6
P13,4,10
P13,5,11
P13,6,18
P13,7,8
P13,8,10
P13,9,17
P13,10,11
P13,11,12
P13,12,11
P13,13,13
P13,14,10
P13,15,8
P13,16,9
P13,17,10
P13,18,9
P13,19,8
P13,20,7
P13,21,5
P13,22,12
P13,23,10
P13,24,10
P13,25,5
P13,26,12
P13,27,7
P13,28,8
P13,29,0
P13,30,11
P13,31,7
P13,32,1
P13,33,15
P13,34,6
P13,35,9
P13,36,8
P13,37,12
P13,38,8
P13,39,4
P13,40,6
P14,0,14
P14,1,12
P14,2,9
P14,3,11
P14,4,13
P14,5,12
P14,6,8
P14,7,12
P14,8,13
P14,9,10
P14,10,10
P14,11,17
P14,12,14
P14,13,14
P14,14,25
P14,15,18
P14,16,13
P14,17,22
P14,18,12
P14,19,21
P14,20,15
P14,21,17
P14,22,11
P14,23,15
P14,24,12
P14,25,17
P14,26,11
P14,27,5
P14,28,7
P14,29,7
P14,30,8
P14,31,9
P14,32,5
P14,33,11
P14,34,9
P14,35,8
P14,36,13
P14,37,12
P14,38,7
P14,39,8
P14,40,12
P15,0,19
P15,1,45
P15,2,47
P15,3,42
P15,4,29
P15,5,44
P15,6,43
P15,7,36
P15,8,25
P15,9,52
P15,10,39
P15,11,42
P15,12,43
P15,13,42
P15,14,43
P15,15,51
P15,16,40
P15,17,44
P15,18,30
P15,19,39
P15,20,39
P15,21,36
P15,22,32
P15,23,39
P15,24,30
P15,25,22
P15,26,25
P15,27,34
P15,28,28
P15,29,29
P15,30,24
P15,31,29
P15,32,25
P15,33,38
P15,34,40
P15,35,36
P15,36,42
P15,37,22
P15,38,33
P15,39,30
P15,40,21
P16,0,30
P16,1,27
P16,2,27
P16,3,43
P16,4,29
P16,5,32
P16,6,49
P16,7,41
P16,8,49
